i,j,r,z,p,T,rho,mu,tc,cp,x_N2,x_SiH4,x_H2,omega_N2,omega_SiH4,omega_H2,D_eff_N2,D_eff_SiH4,D_eff_H2,vz,vr
28,17,0.15749999999999997,0.11886792452830189,132.98350050688734,407.80278235410395,0.001100016843442452,2.1916787918675998e-05,0.0332723849292811,1056.9643160992255,0.9898467060877225,0.00994606292553645,0.00020723098674105232,0.9885940263281181,0.011391047687075852,1.492598480590976e-05,0.02289973379784478,0.022550048803100922,0.0927074576094328,3.8080695517576526,-3.5619686838519558
28,18,0.15749999999999997,0.12566037735849056,132.98723803940416,399.647896793299,0.0011225039002434672,2.1621971072413258e-05,0.03278575700980929,1055.3450315123266,0.9898635465320446,0.009939013244318805,0.0001974402236366363,0.9886028970231231,0.011382882294291683,1.4220682585188995e-05,0.022066658390309767,0.021745025910335197,0.089546172135367,3.482309095128113,-3.728763443400765
28,19,0.15749999999999997,0.13245283018867926,132.99055589972923,391.98856158489247,0.0011444744993440714,2.1343976651524874e-05,0.032328091913904865,1053.8226695602532,0.9898829102394477,0.00992900353169571,0.00018808622885646212,0.9886151165872641,0.011371336551573534,1.3546861162376638e-05,0.021293007806388282,0.020996744139050554,0.08660796557080458,3.116300376858069,-3.7332203702236537
28,20,0.15749999999999997,0.1392452830188679,132.9933069143697,384.8033885839785,0.001165876022330921,2.1082247204214834e-05,0.031898235824511956,1052.3923615709928,0.9899060066836581,0.009914687057332004,0.00017930625900989278,0.9886322137565124,0.011354871835325693,1.2914408161967189e-05,0.020575278525418426,0.02030170163811755,0.08387906880476499,2.7185972415320183,-3.621321374154358
28,21,0.15749999999999997,0.1460377358490566,132.9954334270457,378.0697424931889,0.0011866654630690522,2.0836159371039022e-05,0.031494958434397036,1051.0488807055629,0.9899344096707485,0.009894284290707192,0.00017130603854441492,0.9886562065753753,0.011331455281339548,1.233814328502622e-05,0.01991010311891224,0.01965643127338447,0.08134585382534218,2.297791665236662,-3.4446519561191433
28,22,0.15749999999999997,0.1528301886792453,132.9969391794524,371.7644278217821,0.00120680847659588,2.0605047392898308e-05,0.031116993431756675,1049.786965325153,0.9899697618446701,0.009865892233604585,0.00016434592172534033,0.9886892498413262,0.01129891333782358,1.1836820850140965e-05,0.01929427671092539,0.019057564062341003,0.07899507859404747,1.863433385504809,-3.2595073222528077
28,23,0.15749999999999997,0.15962264150943395,132.997858946359,365.8642272187243,0.0012262784580948638,2.0388216467624406e-05,0.030763067739151467,1048.6018883225656,0.9900129368722426,0.009828348337589313,0.00015871479016807513,0.988732649370045,0.011255919381461242,1.1431248493721283e-05,0.01872474492556392,0.018501874164708314,0.07681405096564535,1.4272865272013853,-3.122703483905018
28,24,0.15749999999999997,0.16641509433962265,132.99822811599512,360.34631688127354,0.00124505571730849,2.0184946364506734e-05,0.030431919402308615,1047.4902495435424,0.990062627424955,0.009782679961231815,0.00015469261381308673,0.9887852075334225,0.01120365087762982,1.114158894769806e-05,0.018198561102751944,0.0179863093234131,0.07479072741676018,1.0046181609788278,-3.081032966363385
28,25,0.15749999999999997,0.1732075471698113,132.99805156063542,355.1885614530986,0.0012631267408091467,1.999449026475835e-05,0.030122303864620757,1046.4506587670874,0.9901138968270153,0.009733599510168663,0.0001525036628158891,0.9888415171388788,0.011147498872574092,1.0983988547074805e-05,0.01771282546007585,0.017508008474758533,0.07291376330077771,0.6147776846404711,-3.1537785957201896
28,26,0.15749999999999997,0.18,132.99725218306338,350.3696743801018,0.0012804832176446452,1.9816081319419427e-05,0.029832991457764482,1045.4835750423672,0.9901580901919553,0.00968964533342169,0.00015226447462304675,0.9888918042232826,0.011097228947353056,1.0966829364434346e-05,0.01726463387480341,0.01706430888012501,0.07117254710896379,0.2796702984270806,-3.3118327316036034
28,27,0.15749999999999997,0.1867924528301887,132.99571930092137,345.86920923255684,0.0012971215248016154,1.9648975777631844e-05,0.02956276672937272,1044.5887354603653,0.9901872523034072,0.009658815295291067,0.0001539324013017797,0.9889269255662264,0.011061987404974702,1.1087028798816719e-05,0.016851088626077055,0.016652725115950832,0.06955719492562812,0.013621495514969412,-3.4959389915103927
28,28,0.15749999999999997,0.19358490566037734,132.99340856243307,341.66746368867103,0.0013130425687919924,1.9492507582404014e-05,0.02931044257870857,1043.7621144779152,0.9902002972889385,0.009642408192998877,0.00015729451806262726,0.988945413009692,0.011043257741471605,1.132924883647075e-05,0.016469384522828163,0.016270916630668847,0.06805851376872334,-0.1772193166541466,-3.6442319157867153
